InicioPeriodo,FimPeriodo,codigoSegmento,Segmento,codigoModalidade,Modalidade,Posicao,InstituicaoFinanceira,TaxaJurosAoMes,TaxaJurosAoAno,cnpj8
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,2,BCO MERCEDES-BENZ S.A.,0.74,9.22,60814191
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,3,BCO GM S.A.,0.95,12.02,59274605
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,4,STELLANTIS FINANCIAMENTOS CFI,1.06,13.48,03502961
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,5,BCO DA AMAZONIA S.A.,1.1,14.0,04902979
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,6,BCO RCI BRASIL S.A.,1.14,14.53,62307848
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,7,BANCO CNH INDUSTRIAL CAPITAL S.A,1.14,14.57,02992446
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,8,SCANIA BCO S.A.,1.18,15.11,11417016
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,9,BANCO HYUNDAI CAPITAL BRASIL,1.21,15.47,30172491
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,10,BCO VOLVO BRASIL S.A.,1.22,15.6,58017179
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,11,BCO VOLKSWAGEN S.A,1.28,16.53,59109165
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,12,BANCO INTER,1.32,16.97,00416968
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,13,BRB - CFI S/A,1.5,19.62,33136888
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,14,BCO SAFRA S.A.,1.56,20.43,58160789
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,15,BCO BRADESCO S.A.,1.56,20.45,60746948
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,16,BCO RODOBENS S.A.,1.56,20.46,33603457
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,17,BANCO MONEO S.A.,1.57,20.55,07441209
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,18,BCO. J.SAFRA S.A.,1.6,21.0,03017677
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,19,BCO BANESTES S.A.,1.61,21.13,28127603
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,20,BCO TOYOTA DO BRASIL S.A.,1.65,21.62,03215790
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,21,FINANC ALFA S.A. CFI,1.65,21.72,17167412
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,22,BCO BRASILEIRO DE CRÉDITO S.A.,1.68,22.1,01852137
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,23,SAFRA CFI S.A.,1.73,22.82,45437547
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,24,BCO SANTANDER (BRASIL) S.A.,1.78,23.53,90400888
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,25,PORTOSEG S.A. CFI,1.81,23.98,04862600
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,26,BCO DO BRASIL S.A.,1.84,24.41,00000000
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,27,CAIXA ECONOMICA FEDERAL,1.84,24.51,00360305
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,28,BCO C6 S.A.,1.86,24.79,31872495
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,29,AYMORÉ CFI S.A.,1.9,25.34,07707650
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,30,BCO BRADESCO FINANC. S.A.,1.9,25.4,07207996
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,31,ITAÚ UNIBANCO HOLDING S.A.,1.91,25.52,60872504
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,32,SINOSSERRA S/A - SCFI,1.95,26.12,22639377
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,33,BANCO BTG PACTUAL S.A.,2.12,28.63,30306294
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,34,BCO VOTORANTIM S.A.,2.15,29.12,59588111
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,35,BCO HONDA S.A.,2.17,29.39,03634220
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,36,BCO DO ESTADO DO RS S.A.,2.43,33.4,92702067
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,37,BCO YAMAHA MOTOR S.A.,2.51,34.68,10371492
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,38,BCO DIGIMAIS S.A.,2.6,36.01,92874270
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,39,FINAMAX S.A. CFI,2.88,40.53,00411939
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,40,SIMPALA S.A. CFI,2.9,40.97,34991938
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,41,BCO DAYCOVAL S.A,2.98,42.32,62232889
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,42,BANCO PAN,3.0,42.58,59285411
2024-09-23,2024-09-27,,PESSOA FÍSICA,,Aquisição de veículos - Pré-fixado,43,OMNI SA CFI,3.28,47.26,92228410
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,1,BANCO ORIGINAL,0.05,0.57,92894922
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,2,BCO VOLKSWAGEN S.A,0.1,1.18,59109165
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,3,BCO XCMG BRASIL S.A.,0.22,2.68,36658769
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,4,BCO DES. DE MG S.A.,0.23,2.83,38486817
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,5,BANCOSEGURO S.A.,0.93,11.72,10264663
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,6,BANCO SICOOB S.A.,1.1,14.01,02038232
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,7,BCO XP S.A.,1.29,16.61,33264668
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,8,BCO ABC BRASIL S.A.,1.33,17.2,28195667
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,9,BCO DIGIMAIS S.A.,1.41,18.27,92874270
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,10,CAIXA ECONOMICA FEDERAL,1.41,18.27,00360305
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,11,BANCO INBURSA,1.7,22.41,04866275
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,12,BCO DO NORDESTE DO BRASIL S.A.,1.75,23.2,07237373
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,13,BCO DAYCOVAL S.A,1.77,23.36,62232889
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,14,SCANIA BCO S.A.,1.84,24.4,11417016
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,15,BCO BS2 S.A.,1.88,25.0,71027866
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,16,BCO SOFISA S.A.,1.9,25.34,60889128
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,17,BCO SAFRA S.A.,1.91,25.52,58160789
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,18,BANCO SEMEAR,2.04,27.41,00795423
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,19,BCO HONDA S.A.,2.13,28.7,03634220
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,20,BCO BRADESCO S.A.,2.14,28.94,60746948
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,21,ITAÚ UNIBANCO S.A.,2.19,29.69,60701190
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,22,PLANTAE CFI,2.22,30.16,35551187
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,23,BCO DA AMAZONIA S.A.,2.45,33.74,04902979
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,24,BANCO BARI S.A.,2.47,33.97,00556603
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,25,BCO INDUSCRED DE INVESTIM. S/A,2.53,35.01,33588252
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,26,BANCO TOPÁZIO S.A.,2.55,35.31,07679404
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,27,BCO DO EST. DO PA S.A.,2.56,35.46,04913711
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,28,BCO DO BRASIL S.A.,2.65,36.85,00000000
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,29,STARA FINANCEIRA S.A. - CFI,2.65,36.88,17359351
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,30,OMNI BANCO S.A.,2.73,38.11,60850229
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,31,BCO SANTANDER (BRASIL) S.A.,2.76,38.56,90400888
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,32,BCO SENFF S.A.,2.9,41.0,11970623
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,33,BCO DO ESTADO DO RS S.A.,2.98,42.23,92702067
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,34,PORTOSEG S.A. CFI,3.14,44.94,04862600
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,35,SIMPALA S.A. CFI,3.37,48.84,34991938
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,36,BRB - BCO DE BRASILIA S.A.,3.63,53.42,00000208
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,37,BCO C6 S.A.,4.11,62.13,31872495
2024-09-23,2024-09-27,,PESSOA JURÍDICA,,Capital de giro com prazo até 365 dias - Pré-fixado,38,BCO GUANABARA S.A.,4.33,66.34,31880826
